disease,text,risk_level
ganglion cyst,My foot pain is worse since this ganglion cyst appeared; I just want to walk without hurting.,Medium
peripheral arterial disease,Why do I have these weird lesions on my skin? They just won't heal.,Medium
melanoma,I feel like I'm losing sleep over this strange mole on my back.,Medium
hypothyroidism,The weight gain is making me feel self-conscious in my own skin.,Low
diverticulosis,This heartburn is a new problem that’s really bothering me lately.,Medium
open wound of the nose,"Every time I think it’s better, my nosebleed starts up again.",Low
hyperemesis gravidarum,I can't handle this headache paired with severe vomiting any longer.,Emergency
broken tooth,The swelling in my lip is definitely from that broken tooth.,Low
orbital cellulitis,"There's a little fever, and my eye feels achy all day.",Low
acute fatty liver of pregnancy (aflp),I’m finding it difficult to cope with the sharp abdominal pain and stress.,Low
pyloric stenosis,I’m uneasy about my baby's cough; it seems to be getting worse.,Low
obstructive sleep apnea (osa),"I sweat profusely during the night, and it’s making my insomnia so much worse.",Emergency
mittelschmerz,I just want to enjoy my life without the constant worry of pelvic pain.,Low
aspergillosis,I never expected a knee lump to signal such a serious illness like aspergillosis.,High
histoplasmosis,My persistent cough is wearing me out; I'm starting to lose sleep over it.,Low
hydrocephalus,The lack of growth in my child is alarming; I hope it's not hydrocephalus.,Emergency
head and neck cancer,"I thought it was just allergies, but the sore throat just won’t go away.",Medium
pseudotumor cerebri,"Sometimes I notice my body moving oddly, and it's concerning.",Low
cerebral palsy,His movements are so stiff; it's like he’s trapped in his own body.,Emergency
urethritis,The pain in my penis is really affecting my life; it’s hard to focus on anything.,Medium
juvenile rheumatoid arthritis,"It's frustrating when my hands swell, making it tough to button my shirts.",Low
pseudohypoparathyroidism,Leg pain makes even simple tasks feel daunting and frustrating for me.,Low
narcolepsy,"I just want to feel normal again, but my symptoms keep pulling me under.",Emergency
urethritis,Is it normal to feel sharp abdominal pain after using the restroom? This is not okay.,Medium
multiple sclerosis,"Some days, my memory feels like it's slipping away, and I hate it.",Medium
fracture of the finger,It's hard to believe a small fracture could cause this much pain.,Low
vaginal cyst,Intermenstrual bleeding is confusing and really concerning for me.,Medium
injury to the arm,The loss of sensation in my fingers is really concerning after the injury.,Medium
appendicitis,I just can’t shake off this feeling of illness; the combination of symptoms is worrying.,Medium
vitamin a deficiency,"Sometimes, I notice a bit of discomfort in my hands.",Low
paroxysmal ventricular tachycardia,The irregular heartbeat had me terrified; it felt so out of control.,Emergency
carbon monoxide poisoning,I’ve read about carbon monoxide poisoning and it worries me—especially with my symptoms.,Low
wilson disease,This stubborn cough is affecting my ability to focus on daily tasks.,Low
gastroparesis,This sharp abdominal pain feels like a knife; I need someone to take me seriously.,Emergency
nerve impingement near the shoulder,I wake up with a sore neck and tightness in my shoulder almost every day.,Medium
muscle spasm,I woke up with sharp chest pain and muscle spasms that won’t go away.,Emergency
pneumonia,I've had a fever and chills for too long; something isn't right.,Emergency
neurosis,"I've been struggling with insomnia for weeks, and it’s driving me to the brink of a breakdown.",Medium
tinnitus of unknown cause,I never realized how much dizziness could disrupt my life until now.,Medium
lewy body dementia,I can’t help but feel really down; it’s like a cloud hangs over me.,Low
pituitary adenoma,I’m really frustrated with this ongoing nausea; it’s affecting my daily life.,Low
angina,The pain in my lower body made the situation even scarier.,Emergency
head and neck cancer,I can’t shake this sore throat; it feels like it’s getting worse each day.,Medium
osteoporosis,The discomfort from bone pain makes it hard to stay active and positive.,Medium
common cold,I've been dealing with a sore throat and it just won't go away.,Medium
anal fissure,"After a bowel movement, the pain of the anus is unbearable and takes forever to ease.",Medium
toxic multinodular goiter,I never thought I’d deal with irregular heartbeat issues at my age; it’s disheartening.,Low
tonsillitis,I don't understand why my hearing feels diminished right now.,Medium
diverticulosis,Why am I experiencing diarrhea so often? It’s exhausting.,Medium
head injury,My neck pain has intensified since I hit my head.,Emergency
de quervain disease,Is it normal to have dull shoulder pain alongside wrist issues?,Low
cerebral edema,"The neck pain is new, and it’s making sleeping really uncomfortable.",Low
aphthous ulcer,I’ve never felt such persistent mouth pain from something so small as an ulcer.,Medium
fracture of the pelvis,The leg pain makes it impossible to enjoy time with my family.,Low
g6pd enzyme deficiency,I never expected my G6PD deficiency to affect my emotions in this way.,Low
metastatic cancer,The fatigue has made it impossible to keep up with my usual activities.,Low
toxoplasmosis,"I've noticed my eyesight isn't what it used to be, and I'm worried it might be toxoplasmosis.",Low
normal pressure hydrocephalus,"These palpitations come and go, and it makes me feel uneasy.",Low
injury to the finger,"After the fall, my finger feels tight and hard to move.",Low
pseudohypoparathyroidism,I’m concerned that my leg pain is getting worse and nobody seems to listen.,Low
rosacea,"Every time I try to cover my symptoms, I end up feeling even worse.",Medium
sebaceous cyst,I’m worried about the skin lesion on my back; it seems to bleed a little now and then.,Medium
croup,Her hoarse voice makes me anxious; I can hardly recognize her when she talks.,Emergency
myoclonus,I dread public places because my spasms can happen without warning.,High
pleural effusion,It feels like there's pressure on my chest; it’s hard to cope.,Emergency
soft tissue sarcoma,"My skin is itching non-stop, and I can't identify the cause.",Low
placental abruption,The contractions feel too strong; I wish I had more clarity on what's happening.,Low
itching of unknown cause,"The more I scratch my skin, the worse the rash gets, and I’m at a loss.",Medium
placenta previa,It’s frustrating to feel this constant fear of bleeding while carrying my baby.,Low
open wound of the arm,I wish this pain in my arm would go away; it’s exhausting.,Low
spontaneous abortion,Intermittent pelvic pain left me worried that I might be having a spontaneous abortion.,Medium
itching of unknown cause,I can't focus at work because my skin is itching all day with no explanation.,Medium
cystitis,"Every time I go to the bathroom, the painful urination feels like a cruel joke.",Medium
necrotizing fasciitis,This ongoing leg pain is a constant reminder that something’s wrong.,Low
neuropathy due to drugs,"Ever since I began this treatment, I’ve had constant nausea.",Low
attention deficit hyperactivity disorder (adhd),"Hostility creeps in when I’m overwhelmed, and I wish it wouldn’t.",Medium
panic attack,"I couldn’t catch my breath, and the tightness in my chest was unbearable.",Emergency
bursitis,Leg swelling has made my favorite shoes completely unwearable.,Medium
rotator cuff injury,I never realized how much shoulder pain could interfere with my life.,Low
acute bronchiolitis,The constant coryza is making my little one utterly miserable and uncomfortable.,Emergency
acute bronchiolitis,My child is so lethargic and refusing to drink anything; it’s alarming.,Emergency
pneumothorax,Why does it hurt to take a deep breath? This is terrifying.,Emergency
diabetes insipidus,I find myself feeling emotional after just a small inconvenience.,Low
down syndrome,I can’t stand seeing him in pain from his congestion; it’s just so hard.,Emergency
eye alignment disorder,"I wish I could enjoy reading again, but my eye alignment issue keeps causing discomfort.",Medium
blepharitis,The itchiness in my eyes keeps interrupting my daily routine; I’m fed up!,Medium
idiopathic excessive menstruation,Each month is a painful reminder of how excessive menstruation controls me.,Medium
atrial fibrillation,"My chest pain was sharp, and it made breathing difficult.",Emergency
vaginal yeast infection,This whole experience with a yeast infection is more than I can handle.,Medium
cushing syndrome,I didn’t realize Cushing syndrome could cause such mood swings; it’s exhausting.,Low
mastoiditis,The ear pain keeps me awake at night; I don’t know what to do anymore.,Low
asthma,"I can't stop coughing, and it's exhausting with all this wheezing.",Emergency
erythema multiforme,"The skin rash feels itchy, and I can't stop scratching it.",Low
ovarian torsion,I’ve been experiencing this sharp abdominal pain that’s just unbearable.,Low
arrhythmia,"With every heartbeat, I felt palpitations and intense fatigue washing over me.",Emergency
hypercholesterolemia,"Weight gain has been sudden and unexplained, and I can't shake this feeling of fear.",Emergency
hyperopia,"My eyes keep deviating, making it hard to read anything.",Low
cystic fibrosis,I really need a break from feeling so ill all the time.,Low
chronic pancreatitis,Waking up with back pain every morning is becoming my new normal.,Medium
injury to internal organ,"I feel sharp chest pain radiating to my back, and it’s getting worse; I’m very concerned.",Emergency
rheumatoid arthritis,My fingers ache so badly I struggle to tie my shoes.,Medium
foreign body in the gastrointestinal tract,"Every time I eat, I experience severe pain and I can't seem to swallow properly.",Emergency
friedrich ataxia,The knee mass makes it hard to bend properly when walking.,Low
marijuana abuse,My partner’s temper problems have escalated because of their weed habit.,Medium
fracture of the patella,The ache in my knee prevents me from enjoying daily walks.,Low
dislocation of the shoulder,The pain in my shoulder is making everything more difficult right now.,Low
central retinal artery or vein occlusion,"My vision seems to fade in and out, and it's really frustrating.",Low
poisoning due to antihypertensives,I’ve never felt this weak; I think it’s from my blood pressure meds.,Low
inguinal hernia,I can’t ignore the lower abdominal pain I’ve been feeling lately.,Medium
benign prostatic hyperplasia (bph),It's frustrating dealing with both impotence and frequent urination; I didn't expect this.,Medium
ear wax impaction,The ear pain is unbearable; I can barely concentrate on anything.,Medium
pyloric stenosis,The cough and vomiting combination has me really on edge.,Low
parathyroid adenoma,"My throat feels tight, and it makes me feel really nervous at times.",Low
polycythemia vera,I hope there's a way to alleviate my dizzy spells soon.,Low
chlamydia,I wish this sharp abdominal pain would just stop already.,Low
testicular torsion,I felt a sudden sharp pain in my testicles that just wouldn’t go away.,Low
anal fissure,"I’ve tried everything, but the pain of the anus just won’t go away completely.",Medium
dislocation of the wrist,I’m feeling a bit down with all this arm pain from my injury.,Low
pseudotumor cerebri,I have these painful sensations in my eye; it’s making me anxious.,Low
syringomyelia,"Every morning, I wake up with a pounding headache that won't go away.",High
spondylosis,The paresthesia I feel in my arms is driving me crazy—it's like I'm living in a numb world.,Medium
muscular dystrophy,I never thought fatigue could take such a toll on my life.,Low
von willebrand disease,"My muscle swelling seems to come out of nowhere, leaving me confused.",Low
neonatal jaundice,"I noticed my baby has jaundice, and their stool color has changed significantly.",Low
otitis media,"The sudden coughing fits are exhausting, and I suspect ear issues are to blame.",Medium
cryptococcosis,"I just want clarity, but all I get is this cross-eyed feeling instead.",Low
benign paroxysmal positional vertical (bppv),It’s terrifying to feel my heart race when I get dizzy suddenly.,Emergency
hemophilia,I feel like my cough is a constant reminder of my hemophilia.,Low
complex regional pain syndrome,It’s hard to concentrate with the paresthesia tingling in my legs.,Medium
metabolic disorder,"I’m feeling overwhelmed by the changes in my body, especially the jaundice.",Low
vasculitis,"My lymphedema is getting worse, and I feel like no one is listening to me.",Medium
hematoma,I didn’t expect to see such noticeable skin swelling.,Low
sepsis,The sharp pain in my abdomen was accompanied by waves of vomiting.,Emergency
coronary atherosclerosis,"My legs are cramping, and I feel a heavy weight on my chest.",Emergency
gastritis,I can't take this sharp abdominal pain any longer; it's unbearable.,Emergency
hyperkalemia,I’m scared because the shortness of breath just won’t go away.,Emergency
mumps,The discomfort in my throat makes me dread eating.,Low
ear wax impaction,"The ringing in my ear keeps getting louder, and it's driving me crazy.",Medium
hepatic encephalopathy,I’m scared I’m going to faint while driving; it's making me anxious.,Emergency
persistent vomiting of unknown cause,"I started vomiting out of the blue, and it's been days with no relief.",Low
premature ovarian failure,Not having my period makes me feel so out of control.,Low
sarcoidosis,"Every time I cough, it feels like my chest is tightening even more.",Emergency
sinus bradycardia,I can barely catch my breath; my heart is beating too slowly.,Emergency
dislocation of the shoulder,"The shoulder pain radiates into my neck, and it's unbearable.",Low
developmental disability,I can’t take the constant restlessness any longer; it disrupts my entire day.,Emergency
acariasis,I can’t wear shorts anymore because of this embarrassing rash.,Low
primary immunodeficiency,I never thought arm stiffness would affect my hobbies.,Low
open wound of the lip,"Every time I eat, the wound on my lip causes sharp pain.",Low
frostbite,Why is my foot so numb and painful after just a short time outside?,High
urinary tract obstruction,Why do I have to wake up multiple times at night to urinate?,Medium
bursitis,Elbow pain has really made it tough to enjoy my hobbies lately.,Medium
otosclerosis,Feeling off balance while walking is becoming my new normal.,Low
dislocation of the knee,The persistent swelling in my knee is driving me crazy.,Low
macular degeneration,I never expected to deal with bleeding from my eye; it was shocking.,Medium
trichomonas infection,Why do I have this unpredictable menstruation alongside my trichomonas infection?,Medium
fracture of the facial bones,I never expected such severe headaches after fracturing my facial bones.,Medium
postoperative infection,I'm concerned about the abnormal appearance of my skin post-surgery.,Low
dislocation of the foot,I just need advice on how to ease this foot pain.,Low
herpangina,I'm constantly battling insomnia because of the discomfort from this illness.,Medium
acute respiratory distress syndrome (ards),"My fever won't go down, and I feel so weak and lost.",Emergency
ganglion cyst,The lump on my toe is so uncomfortable that I dread putting my shoes on each day.,Medium
intestinal malabsorption,Coughing fits seem to worsen whenever I'm around certain foods lately.,Low
open wound of the arm,Why is my arm always throbbing? It’s so distracting!,Low
herniated disk,I’m frustrated by the persistent low back pain that won’t go away.,Medium
shingles (herpes zoster),I've been dealing with a severe headache and abnormal appearing skin for days.,Emergency
decubitus ulcer,I’ve been dealing with this sore for weeks; it’s really affecting my mobility.,Low
huntington disease,It’s unsettling how my elbow weakness limits my ability to enjoy activities.,Low
injury to the abdomen,"I woke up with such sharp abdominal pain, I feel like I might faint.",Emergency
breast cyst,I can feel a lump in my breast; I hope it's just a benign cyst.,Low
chronic glaucoma,"Every morning, I wake up to white discharge from my eye; it’s so annoying.",Medium
fracture of the patella,"Every time I try to move, my knee pain intensifies.",Low
trichinosis,This knee lump feels weird; I can’t shake the worry.,Low
migraine,I get so nauseous that it’s difficult to do simple tasks during a migraine.,Medium
post-traumatic stress disorder (ptsd),Sleep feels impossible when my heart races every night.,Medium
peritonitis,I have a groin mass and it feels like my stomach is in knots.,Emergency
conjunctivitis,I can't believe how itchy my eyes are; it's making it hard to focus.,Medium
vitreous degeneration,This foreign body sensation makes it impossible to work comfortably.,Medium
carpal tunnel syndrome,"It feels like my hands are constantly swollen, and it's so frustrating.",Medium
anal fissure,I’m so tired of lower body pain ruining my daily activities and plans.,Medium
spondylosis,"Lately, the low back pain has made simple tasks, like bending down, feel impossible.",Medium
myoclonus,I can't enjoy time with my family because my myoclonus is so unpredictable.,High
ovarian cyst,I feel frustrated and confused; the painful menstruation is more severe than I ever imagined.,Medium
mastoiditis,"I’ve noticed diminished hearing in my left ear, and it’s concerning me a lot.",Low
colonic polyp,"I had diarrhea that lasted a whole week, and now I'm really worried about polyps.",Medium
cirrhosis,"Every time I think about my upper abdominal pain, I feel panic.",Emergency
pulmonary embolism,The chest tightness has made it hard for me to get any rest.,Emergency
epididymitis,The discomfort from my swollen scrotum has affected my daily routine.,Medium
presbyacusis,I never expected aging would come with this kind of hearing trouble.,Low
vasculitis,This leg pain is unbearable and seems to be getting worse every week.,Medium
ulcerative colitis,Why is it so hard to find relief from this relentless diarrhea?,Medium
poisoning due to opioids,"Some days, my speech gets slurred, and I’m not sure if it’s the opioids.",Low
dislocation of the patella,I didn't realize knee stiffness could last so long; it's quite frustrating.,Low
anemia,"Every time I bend over, I feel dizzy and unsteady; it’s unnerving.",Emergency
epilepsy,"I had a terrible headache right before the seizure, and now I'm scared it’ll happen again.",Emergency
drug abuse (opioids),I find myself feeling more and more isolated due to my drug use.,Medium
esophageal cancer,These sharp pains in my stomach are making it hard to function.,Emergency
scabies,"My doctor dismissed my concerns, but the rash is so visible!",Low
pain after an operation,I keep feeling a sharp pain on my side when I try to sit up.,Emergency
hammer toe,My hammer toe has developed a skin lesion that just won’t heal.,Low
myopia,I’m worried because my eyes sometimes move abnormally when I get tired.,Medium
thalassemia,"My elbows ache doing basic activities, all thanks to thalassemia.",Low
acute otitis media,"I thought my cough was bad, but this ear ache is unbearable.",Medium
flu,"Nausea hit me hard this morning, and now I can't even look at food.",Medium
obesity,It feels like my excessive appetite has taken over my life—I'm always hungry.,Low
fibroadenoma,Hot flashes have started accompanying the breast pain I experience.,Low
drug reaction,"The medication made my skin look abnormal, and now I’m really worried.",Emergency
blepharospasm,I wish there was a way to stop the headaches caused by this condition.,Low
fracture of the facial bones,I’ve been feeling really dizzy and disoriented since my accident.,Medium
subacute thyroiditis,"I thought pregnancy would be beautiful, not filled with palpitations.",Low
fracture of the foot,Is it normal for my foot to feel this weak after just a little injury?,Low
eye alignment disorder,"Sometimes, the eye deviation makes me feel like I can't trust my own vision.",Medium
vaginitis,I can't shake off the uncomfortable vaginal pain that interrupts my daily activities.,Medium
drug abuse,I can’t focus on anything because of the mental fog from all the smoking.,Medium
drug withdrawal,"Lately, I can’t shake this constant dizziness; it feels awful.",Low
vaginismus,I feel constant pelvic pain that just won’t go away.,Low
thalassemia,"Thalassemia is exhausting, especially when I barely sleep at night.",Low
breast cyst,I noticed a small mass in my breast; it’s hard not to think the worst.,Low
acute otitis media,"The fever is bad, but the ear pain is even worse right now.",Medium
normal pressure hydrocephalus,I often get these strange headaches that just won’t go away.,Low
eczema,I keep getting these painful skin rashes that don't seem to go away.,Medium
vesicoureteral reflux,It troubles me that my child has sudden involuntary urination during playtime.,Low
hypokalemia,Nausea and fainting at the same time? This cannot be normal.,Emergency
aphthous ulcer,I can't function when all I feel is this intense toothache and mouth pain.,Medium
onychomycosis,There’s some unusual growth on my foot that I didn’t have before.,Medium
graves disease,Sometimes my heart races out of control; I don't know how to manage it.,Low
vesicoureteral reflux,"This fever won't go away, and I feel like I'm falling apart.",Low
corneal disorder,I can hardly bear the constant foreign body sensation; it’s as if something's in my eye.,Medium
granuloma inguinale,It’s hard to believe how much this granuloma inguinale disrupts my routine.,High
pneumoconiosis,"My doctor says it’s pneumoconiosis, but the dizziness is overwhelming.",High
male genitalia infection,"My scrotum feels tender, and it's affecting my daily activities.",Low
persistent vomiting of unknown cause,It’s frustrating to have abnormal involuntary movements on top of all this vomiting.,Low
urinary tract infection,The back pain is a constant reminder that I need help with this infection.,Medium
ankylosing spondylitis,Even simple tasks are a struggle because of my leg pain.,Medium
thoracic aortic aneurysm,"The dizziness hit me out of nowhere, and I feared the worst.",Emergency
fracture of the patella,It’s alarming how much pain I feel just sitting with this injury.,Low
ovarian cyst,Can anyone explain why my vaginal discharge has changed since I discovered my ovarian cyst?,Medium
eczema,The peeling skin from my eczema makes it hard to wear my favorite clothes.,Medium
sickle cell crisis,The sharp abdominal pain keeps me awake at night; I feel hopeless.,Emergency
hematoma,The skin swelling around my hematoma is really bothering me.,Low
epididymitis,I need answers for this combination of side pain and groin pain.,Medium
diabetic retinopathy,Sometimes it feels like my eyelids have a mind of their own; it’s unsettling.,Medium
hematoma,It's hard to ignore this persistent sharp abdominal pain.,Low
chronic otitis media,It’s exhausting dealing with persistent ear pain and the constant need to clear my throat.,Medium
macular degeneration,I can't help but feel anxious about my eyesight; it's been so diminished lately.,Medium
myopia,There’s a persistent redness in my eyes that just won’t go away.,Medium
peripheral nerve disorder,I never expected a peripheral nerve disorder to disrupt my life so much.,Medium
meckel diverticulum,Sometimes the lower abdominal pain feels like it comes out of nowhere.,Low
folate deficiency,I can’t stop feeling short of breath; it’s making me panic.,Emergency
social phobia,I feel so anxious in social settings that I avoid them altogether.,Medium
mumps,"I thought shoulder swelling was just fatigue, but it feels worse.",Low
urinary tract infection,"I noticed blood in my urine, and it's causing me a lot of anxiety.",Medium
mittelschmerz,Why does this sharp abdominal pain come out of nowhere every month?,Low
dislocation of the shoulder,My arm stiffness makes simple tasks feel impossible.,Low
fibrocystic breast disease,It’s disheartening to keep finding lumps in my breast and not understand why.,Low
bladder disorder,I feel like I'm never fully emptying my bladder; it's so frustrating!,Medium
hammer toe,I wish my hammer toe didn’t hurt so much when I walk.,Low
typhoid fever,It’s frustrating to deal with a fever while my wrists throb in pain.,Low
decubitus ulcer,"I've had trouble with incontinence lately, and now I have a painful sore on my side.",Low
chronic pancreatitis,I can't believe the sharp abdominal pain is still haunting me after all this time.,Medium
plantar fasciitis,I can’t remember the last time my ankle felt normal without swelling.,Low
graves disease,The irregular heartbeat is constantly on my mind; I just want peace.,Low
diabetes insipidus,My emotional well-being has taken a hit lately.,Low
guillain barre syndrome,This persistent leg pain is starting to wear me down.,Low
head injury,My headache is unbearable and seems to be getting worse.,Emergency
connective tissue disorder,"The struggle with swallowing feels like an uphill battle, and I'm tired of it.",Low
colonic polyp,"I felt a sudden sharp pain in my abdomen, and it scared me half to death.",Medium
hypercholesterolemia,The frequent nighttime trips to the bathroom are ruining my sleep; I'm so worried.,Emergency
zenker diverticulum,I worry that my elbow weakness will lead to more serious issues.,High
gastroesophageal reflux disease (gerd),Regurgitation has turned every meal into a nightmare; I dread eating.,Emergency
liver disease,"There’s blood in my stool, and I feel completely weak; I need help right away!",Emergency
empyema,"The pain in my chest is sharp, and I can hardly breathe—please, something is wrong!",Emergency
panic disorder,"I often experience shortness of breath, and it makes every moment feel like a struggle.",Emergency
injury to the leg,The pain in my ankle makes it impossible to keep up with my kids.,Medium
foreign body in the nose,"My nose feels blocked, and I can't remember if I shoved something up there.",Low
autonomic nervous system disorder,I’ve been feeling dizzy all day and it’s really frustrating.,Low
inguinal hernia,"Every time I lift something, the sharp abdominal pain flares up.",Medium
dementia,"My mood swings are so extreme; one moment I’m happy, the next I'm angry.",Medium
bladder obstruction,The retention of urine has turned simple outings into a source of anxiety for me.,Medium
atonic bladder,I hope someone can help me with my urinary retention issues soon.,Low
volvulus,Each day feels like a struggle with this persistent sharp abdominal pain.,Low
psoriasis,I hate how my skin rash always seems to flare up at the worst times.,Medium
perirectal infection,"The skin near my rectum feels very sore, and I can't sit properly.",Low
bell palsy,I’ve been anxious about this abnormal movement in my face; it’s so distracting.,Medium
myositis,Knee pain has made climbing stairs a real chore for me lately.,Low
myelodysplastic syndrome,"Chills hit me unexpectedly, making me feel really uncomfortable.",Low
otitis media,"Every time I bend over, the pain in my ear gets worse; it’s unbearable!",Medium
meckel diverticulum,This diverticulum is making me miserable with all this ongoing pain.,Low
strep throat,I can't believe how much my throat hurts; it's making everything hard!,Medium
floaters,"I keep seeing flashes with those floaters, and it's unsettling.",Low
lichen planus,Talking is tough when my mouth feels sore from lichen planus.,Low
erectile dysfunction,The pain during intercourse has strained my relationship with my partner.,Medium
hashimoto thyroiditis,I feel like no one understands the struggles of Hashimoto’s and my weight issues.,Low
lichen simplex,"The skin rash is embarrassing, and I'm tired of trying different creams.",Low
salivary gland disorder,I’ve been dealing with a sore throat and it’s really bothering me.,Low
stricture of the esophagus,The swallowing difficulties are isolating; I can’t eat with friends anymore.,Emergency
celiac disease,I couldn’t shake the feeling of impending doom from the chest pain.,Emergency
pneumonia,"The wheezing is getting worse, and I feel so weak all day.",Emergency
injury to the knee,I can't run anymore because my knee doesn't support me like it used to.,Low
g6pd enzyme deficiency,"I’m dealing with an annoying cough, and I wonder if it’s related to my condition.",Low
oral mucosal lesion,"I've had a fever along with painful mouth sores, and it's making me feel terrible.",Medium
parasitic disease,"Lately, I've noticed some strange rashes on my skin that are really concerning.",Low
congenital malformation syndrome,Diminished hearing has made communication so difficult for my child and our family.,High
autism,The psychotic symptoms are leaving me feeling helpless; I don’t know what to do next.,Emergency
benign paroxysmal positional vertical (bppv),I've been experiencing violent headaches along with my dizziness.,Emergency
myocarditis,I'm terrified of passing out due to this relentless dizziness; it's exhausting.,High
onychomycosis,I can’t believe how scaly and dry my skin has become; it’s frustrating.,Medium
corneal abrasion,"Every time I blink, sharp pain shoots through my eye; it’s frustrating.",Medium
intertrigo (skin condition),I can’t believe how often I’m dealing with skin swelling in my armpits.,Low
dumping syndrome,"Every time I eat, I feel this wave of nausea wash over me.",Low
abdominal aortic aneurysm,"My abdomen feels like it's on fire, and the pain is unbearable.",Emergency
trichomonas infection,I can't believe I'm dealing with this sharp abdominal pain from a trichomonas infection.,Medium
psychotic disorder,"Why do I feel so nervous all the time, like something terrible is about to happen?",Medium
premature ventricular contractions (pvcs),I have a constant feeling of tightness in my chest; it won’t go away no matter what I do.,Emergency
restless leg syndrome,The overwhelming fatigue from restless leg syndrome is ruining my days.,Medium
acariasis,"The rash on my skin won’t go away, and it’s so annoying.",Low
burn,I’m worried my hand pain from the burn is lasting longer than expected.,Low
spondylosis,The lower body pain leaves me feeling trapped and unable to enjoy life like I used to.,Medium
alcohol intoxication,My friends say I’m acting really weird and moving oddly when I drink.,Emergency
teething syndrome,My little one seems to have a constant runny nose while teething.,Medium
pyloric stenosis,My baby’s vomiting after meals is really concerning me.,Low
hashimoto thyroiditis,My friends don’t understand why I can’t control these weird movements.,Low
thrombocytopenia,The fatigue from my thrombocytopenia makes even simple walks exhausting.,Emergency
concussion,"This neck pain is getting worse, and I’m worried it won’t go away.",Medium
premenstrual tension syndrome,It’s frustrating that I always get a headache just when I need to be productive.,Low
premenstrual tension syndrome,Unpredictable menstruation makes planning anything super stressful for me.,Low
sjogren syndrome,I find myself constantly battling fatigue from the aches in my body.,Low
atrial flutter,I didn’t expect chest pain that sharp; I thought it was just anxiety.,Emergency
attention deficit hyperactivity disorder (adhd),I worry my symptoms will lead to drug abuse if I don’t get help.,Medium
poisoning due to gas,I nearly collapsed from dizziness when I realized I was breathing in toxic gas.,Emergency
subdural hemorrhage,"My headaches have become more frequent, and I'm not sure why.",Low
idiopathic irregular menstrual cycle,I’m tired of being caught off guard by my cycle; the frequent menstruation makes life feel chaotic.,Medium
mumps,"My lymph nodes are swollen, and it’s making me feel off.",Low
sialoadenitis,"My jaw swelling has gotten worse, and it's starting to impact my ability to speak clearly.",Medium
nose disorder,I'm worried that my cough and fever mean something serious.,Emergency
tuberculosis,"I can't stop coughing, and it's getting worse every day.",High
white blood cell disease,The diarrhea is so disruptive; I can’t leave the house without worrying.,Medium
urinary tract obstruction,The sharp abdominal pain is getting worse every time I try to urinate.,Medium
anal fissure,The ongoing rectal bleeding is both frustrating and concerning; why won’t it stop?,Medium
varicose veins,I'm worried about how these veins will affect my overall health.,Medium
retinal detachment,"I can’t shake off the constant pain in my eye, and my vision is fading.",Medium
viral hepatitis,Sometimes it feels like my fingers just won’t cooperate anymore.,Low
paronychia,I can't believe how tender my toe is; it feels like there's constant pressure from the swelling.,Medium
threatened pregnancy,The pelvic pain is making me feel anxious about what’s happening with my pregnancy.,Medium
abdominal aortic aneurysm,"The arm swelling started out of nowhere, leaving me worried about my health.",Emergency
postoperative infection,I can’t shake off these strange abdominal pains after my surgery.,Low
alcohol abuse,"The urge to drink is overwhelming, and it’s ruining my mental health.",Emergency
fracture of the finger,I didn’t think a little bump could cause this much finger pain.,Low
rotator cuff injury,I've been dealing with shoulder pain that just won’t go away.,Low
sensorineural hearing loss,"My ear pain seems to be getting worse, making it hard to focus.",Medium
hyperhidrosis,My hyperhidrosis makes it hard to enjoy outdoor activities.,Low
restless leg syndrome,"Restless legs make my evenings a nightmare, filled with constant movement.",Medium
seasonal allergies (hay fever),This time of year gives me such painful frontal headaches.,Medium
acute otitis media,My ear is red and painful; I can’t wait to see the doctor.,Medium
hyperkalemia,"I’m experiencing strange depressive thoughts, and I don’t know why.",Emergency
alcohol withdrawal,I never thought I'd experience such severe depression from quitting.,Emergency
cushing syndrome,I just want to feel like myself again and not worry about my weight.,Low
granuloma inguinale,This granuloma inguinale is causing me so much unexpected distress.,High
open wound of the jaw,The open wound on my jaw has been so uncomfortable lately.,Low
peripheral arterial embolism,"My knee is swollen, and it feels so uncomfortable lately.",Low
balanitis,I’m frustrated that my balanitis has caused so many issues for me.,Medium
open wound of the back,I find it hard to sleep with this back wound causing irritation and discomfort.,Low
idiopathic infrequent menstruation,"The sharp abdominal pain is ruining my daily life, and my periods are just so infrequent.",Low
extrapyramidal effect of drugs,My restlessness makes it impossible to sleep; I feel exhausted every day.,Emergency
acanthosis nigricans,I never thought weight gain would lead to such visible skin problems.,Low
parkinson disease,The unpredictability of my symptoms makes planning anything very difficult.,Medium
granuloma inguinale,The lump in my knee is so tender; I can hardly touch it.,High
pulmonary embolism,"My legs are in pain, and I’m feeling really weak and dizzy.",Emergency
mastoiditis,"Facial pain has been bothering me, and I can’t shake the feeling something’s wrong.",Low
edward syndrome,It's disheartening that my suprapubic pain is often dismissed by others.,Low
goiter,The hot flashes come out of nowhere and leave me feeling drained.,Low
acute pancreatitis,Vomiting every few minutes makes dealing with this acute pancreatitis exhausting.,Emergency
blepharospasm,I've noticed my vision getting worse because my eyelids won't stop moving.,Low
empyema,The sharp chest pain makes it hard to even speak; I need urgent care.,Emergency
parkinson disease,I can’t believe how much dizziness I experience; it makes daily activities so challenging.,Medium
pituitary disorder,"Headaches are interfering with work, and I need some answers.",Low
